#
#    Name:     cp853_DOSLatin3 to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Contact: Shawn.Steele@microsoft.com
#                   
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp853_DOSLatin3 code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp853_DOSLatin3 order
#
# DOSBox-X: This has been modified to reflect the actual character codes on IBM PC MS-DOS CP437
0x00	0x0000	#NULL
0x23	0x0023	#NUMBER SIGN
0x24	0x0024	#DOLLAR SIGN
0x25	0x0025	#PERCENT SIGN
0x26	0x0026	#AMPERSAND
0x27	0x0027	#APOSTROPHE
0x28	0x0028	#LEFT PARENTHESIS
0x29	0x0029	#RIGHT PARENTHESIS
0x2A	0x002A	#ASTERISK
0x2B	0x002B	#PLUS SIGN
0x2C	0x002C	#COMMA
0x2D	0x002D	#HYPHEN-MINUS
0x2E	0x002E	#FULL STOP
0x2F	0x002F	#SOLIDUS
0x30	0x0030	#DIGIT ZERO
0x31	0x0031	#DIGIT ONE
0x32	0x0032	#DIGIT TWO
0x33	0x0033	#DIGIT THREE
0x34	0x0034	#DIGIT FOUR
0x35	0x0035	#DIGIT FIVE
0x36	0x0036	#DIGIT SIX
0x37	0x0037	#DIGIT SEVEN
0x38	0x0038	#DIGIT EIGHT
0x39	0x0039	#DIGIT NINE
0x3A	0x003A	#COLON
0x3B	0x003B	#SEMICOLON
0x3C	0x003C	#LESS-THAN SIGN
0x3D	0x003D	#EQUALS SIGN
0x3E	0x003E	#GREATER-THAN SIGN
0x3F	0x003F	#QUESTION MARK
0x40	0x0040	#COMMERCIAL AT
0x41	0x0041	#LATIN CAPITAL LETTER A
0x42	0x0042	#LATIN CAPITAL LETTER B
0x43	0x0043	#LATIN CAPITAL LETTER C
0x44	0x0044	#LATIN CAPITAL LETTER D
0x45	0x0045	#LATIN CAPITAL LETTER E
0x46	0x0046	#LATIN CAPITAL LETTER F
0x47	0x0047	#LATIN CAPITAL LETTER G
0x48	0x0048	#LATIN CAPITAL LETTER H
0x49	0x0049	#LATIN CAPITAL LETTER I
0x4A	0x004A	#LATIN CAPITAL LETTER J
0x4B	0x004B	#LATIN CAPITAL LETTER K
0x4C	0x004C	#LATIN CAPITAL LETTER L
0x4D	0x004D	#LATIN CAPITAL LETTER M
0x4E	0x004E	#LATIN CAPITAL LETTER N
0x4F	0x004F	#LATIN CAPITAL LETTER O
0x50	0x0050	#LATIN CAPITAL LETTER P
0x51	0x0051	#LATIN CAPITAL LETTER Q
0x52	0x0052	#LATIN CAPITAL LETTER R
0x53	0x0053	#LATIN CAPITAL LETTER S
0x54	0x0054	#LATIN CAPITAL LETTER T
0x55	0x0055	#LATIN CAPITAL LETTER U
0x56	0x0056	#LATIN CAPITAL LETTER V
0x57	0x0057	#LATIN CAPITAL LETTER W
0x58	0x0058	#LATIN CAPITAL LETTER X
0x59	0x0059	#LATIN CAPITAL LETTER Y
0x5A	0x005A	#LATIN CAPITAL LETTER Z
0x5B	0x005B	#LEFT SQUARE BRACKET
0x5C	0x005C	#REVERSE SOLIDUS
0x5D	0x005D	#RIGHT SQUARE BRACKET
0x5E	0x005E	#CIRCUMFLEX ACCENT
0x5F	0x005F	#LOW LINE
0x60	0x0060	#GRAVE ACCENT
0x61	0x0061	#LATIN SMALL LETTER A
0x62	0x0062	#LATIN SMALL LETTER B
0x63	0x0063	#LATIN SMALL LETTER C
0x64	0x0064	#LATIN SMALL LETTER D
0x65	0x0065	#LATIN SMALL LETTER E
0x66	0x0066	#LATIN SMALL LETTER F
0x67	0x0067	#LATIN SMALL LETTER G
0x68	0x0068	#LATIN SMALL LETTER H
0x69	0x0069	#LATIN SMALL LETTER I
0x6A	0x006A	#LATIN SMALL LETTER J
0x6B	0x006B	#LATIN SMALL LETTER K
0x6C	0x006C	#LATIN SMALL LETTER L
0x6D	0x006D	#LATIN SMALL LETTER M
0x6E	0x006E	#LATIN SMALL LETTER N
0x6F	0x006F	#LATIN SMALL LETTER O
0x70	0x0070	#LATIN SMALL LETTER P
0x71	0x0071	#LATIN SMALL LETTER Q
0x72	0x0072	#LATIN SMALL LETTER R
0x73	0x0073	#LATIN SMALL LETTER S
0x74	0x0074	#LATIN SMALL LETTER T
0x75	0x0075	#LATIN SMALL LETTER U
0x76	0x0076	#LATIN SMALL LETTER V
0x77	0x0077	#LATIN SMALL LETTER W
0x78	0x0078	#LATIN SMALL LETTER X
0x79	0x0079	#LATIN SMALL LETTER Y
0x7A	0x007A	#LATIN SMALL LETTER Z
0x7B	0x007B	#LEFT CURLY BRACKET
0x7C	0x007C	#VERTICAL LINE
0x7D	0x007D	#RIGHT CURLY BRACKET
0x7E	0x007E	#TILDE
0x7F	0x007F	#DELETE
0x80	0x00C7	#LATIN CAPITAL LETTER C WITH CEDILLA
0x81	0x00FC	#LATIN SMALL LETTER U WITH DIAERESIS
0x82	0x00E9	#LATIN SMALL LETTER E WITH ACUTE
0x83	0x00E2	#LATIN SMALL LETTER A WITH CIRCUMFLEX
0x84	0x00E4	#LATIN SMALL LETTER A WITH DIAERESIS
0x85	0x00E0	#LATIN SMALL LETTER A WITH GRAVE
0x86	0x0109	#LATIN SMALL LETTER C WITH CIRCUMFLEX
0x87	0x00E7	#LATIN SMALL LETTER C WITH CEDILLA
0x88	0x00EA	#LATIN SMALL LETTER E WITH CIRCUMFLEX
0x89	0x00EB	#LATIN SMALL LETTER E WITH DIAERESIS
0x8A	0x00E8	#LATIN SMALL LETTER E WITH GRAVE
0x8B	0x00EF	#LATIN SMALL LETTER I WITH DIAERESIS
0x8C	0x00EE	#LATIN SMALL LETTER I WITH CIRCUMFLEX
0x8D	0x00EC	#LATIN SMALL LETTER I WITH GRAVE
0x8E	0x00C4	#LATIN CAPITAL LETTER A WITH DIAERESIS
0x8F	0x0108	#LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0x90	0x00C9	#LATIN CAPITAL LETTER E WITH ACUTE
0x91	0x010B	#LATIN SMALL LETTER C WITH DOT ABOVE
0x92	0x010A	#LATIN CAPITAL LETTER C WITH DOT ABOVE
0x93	0x00F4	#LATIN SMALL LETTER O WITH CIRCUMFLEX
0x94	0x00F6	#LATIN SMALL LETTER O WITH DIAERESIS
0x95	0x00F2	#LATIN SMALL LETTER O WITH GRAVE
0x96	0x00FB	#LATIN SMALL LETTER U WITH CIRCUMFLEX
0x97	0x00F9	#LATIN SMALL LETTER U WITH GRAVE
0x98	0x0130	#LATIN CAPITAL LETTER I WITH DOT ABOVE
0x99	0x00D6	#LATIN CAPITAL LETTER O WITH DIAERESIS
0x9A	0x00DC	#LATIN CAPITAL LETTER U WITH DIAERESIS
0x9B	0x011D	#LATIN SMALL LETTER G WITH CIRCUMFLEX
0x9C	0x00A3	#POUND SIGN
0x9D	0x011C	#LATIN CAPITAL LETTER G WITH CIRCUMFLEX
0x9E	0x00D7	#MULTIPLICATION SIGN
0x9F	0x0135	#LATIN SMALL LETTER J WITH CIRCUMFLEX
0xA0	0x00E1	#LATIN SMALL LETTER A WITH ACUTE
0xA1	0x00ED	#LATIN SMALL LETTER I WITH ACUTE
0xA2	0x00F3	#LATIN SMALL LETTER O WITH ACUTE
0xA3	0x00FA	#LATIN SMALL LETTER U WITH ACUTE
0xA4	0x00F1	#LATIN SMALL LETTER N WITH TILDE
0xA5	0x00D1	#LATIN CAPITAL LETTER N WITH TILDE
0xA6	0x011E	#LATIN CAPITAL LETTER G WITH BREVE
0xA7	0x011F	#LATIN SMALL LETTER G WITH BREVE
0xA8	0x0124	#LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0xA9	0x0125	#LATIN SMALL LETTER H WITH CIRCUMFLEX
0xAB	0x00BD	#VULGAR FRACTION ONE HALF
0xAC	0x0134	#LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0xAD	0x015F	#LATIN SMALL LETTER S WITH CEDILLA
0xAE	0x00AB	#LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xAF	0x00BB	#RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xB0	0x2591	#LIGHT SHADE
0xB1	0x2592	#MEDIUM SHADE
0xB2	0x2593	#DARK SHADE
0xB3	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	#BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0x00C1	#LATIN CAPITAL LETTER A WITH ACUTE
0xB6	0x00C2	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0xB7	0x00C0	#LATIN CAPITAL LETTER A WITH GRAVE
0xB8	0x015E	#LATIN CAPITAL LETTER S WITH CEDILLA
0xB9	0x2563	#BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	#BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	#BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	#BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0x017B	#LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xBE	0x017C	#LATIN SMALL LETTER Z WITH DOT ABOVE
0xBF	0x2510	#BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	#BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	#BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	#BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	#BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	#BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	#BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0x015C	#LATIN CAPITAL LETTER S WITH CIRCUMFLEX
0xC7	0x015D	#LATIN SMALL LETTER S WITH CIRCUMFLEX
0xC8	0x255A	#BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	#BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	#BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	#BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	#BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	#BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	#BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	0x00A4	#CURRENCY SIGN
0xD2	0x00CA	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0xD3	0x00CB	#LATIN CAPITAL LETTER E WITH DIAERESIS
0xD4	0x00C8	#LATIN CAPITAL LETTER E WITH GRAVE
0xD5	0x0131	#LATIN SMALL LETTER DOTLESS I
0xD6	0x00CD	#LATIN CAPITAL LETTER I WITH ACUTE
0xD7	0x00CE	#LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0xD8	0x00CF	#LATIN CAPITAL LETTER I WITH DIAERESIS
0xD9	0x2518	#BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	#BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	#FULL BLOCK
0xDC	0x2584	#LOWER HALF BLOCK
0xDE	0x00CC	#LATIN CAPITAL LETTER I WITH GRAVE
0xDF	0x2580	#UPPER HALF BLOCK
0xE0	0x00D3	#LATIN CAPITAL LETTER O WITH ACUTE
0xE1	0x00DF	#LATIN SMALL LETTER SHARP S
0xE2	0x00D4	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xE3	0x00D2	#LATIN CAPITAL LETTER O WITH GRAVE
0xE4	0x0120	#LATIN CAPITAL LETTER G WITH DOT ABOVE
0xE5	0x0121	#LATIN SMALL LETTER G WITH DOT ABOVE
0xE6	0x00B5	#MICRO SIGN
0xE7	0x0126	#LATIN CAPITAL LETTER H WITH STROKE
0xE8	0x0127	#LATIN SMALL LETTER H WITH STROKE
0xE9	0x00DA	#LATIN CAPITAL LETTER U WITH ACUTE
0xEA	0x00DB	#LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0xEB	0x00D9	#LATIN CAPITAL LETTER U WITH GRAVE
0xEC	0x016C	#LATIN CAPITAL LETTER U WITH BREVE
0xED	0x016D	#LATIN SMALL LETTER U WITH BREVE
0xEF	0x00B4	#ACUTE ACCENT
0xF0	0x00AD	#SOFT HYPHEN
0xF2	0x2113	#SCRIPT SMALL L
0xF3	0x0149	#LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
0xF4	0x02D8	#BREVE
0xF5	0x00A7	#SECTION SIGN
0xF6	0x00F7	#DIVISION SIGN
0xF7	0x00B8	#CEDILLA
0xF8	0x00B0	#DEGREE SIGN
0xF9	0x00A8	#DIAERESIS
0xFA	0x02D9	#DOT ABOVE
0xFC	0x00B3	#SUPERSCRIPT THREE
0xFD	0x00B2	#SUPERSCRIPT TWO
0xFE	0x25A0	#BLACK SQUARE
0xFF	0x00A0	#NO-BREAK SPACE

